,Date,Review,Rating
42,8/30/2018,"I was not a big fan of magic until The Magic Castle. I have been three times now and each visit is unique and wonderful. The magicians change on a daily to monthly basis and come from around the world. The shows are pretty hard to describe -- you have to see it to believe it and even then the shows are mind-boggling, especially their ""slight of hand"" line-up. Their performances really leave you wondering how they were able to make a fish bowl (with water) come out of a paper bag that was flat just moments ago or read your mind using cards(sounds strange but I've experienced it!). Reservations should be made weeks, if not months, in advance. Sometimes openings that are sooner pop up but I usually have to book my party far ahead of time. Valet only (15), and depending on how you got invited, there is a cover charge that changes based on day of the week (30-45). Also based on invite, you might have to purchase a dinner (I think it was a 40 minimum?). If you do eat dinner, here (food is great/see below) then you get a complimentary ticket to the ""big"" main magic show which is about 45min-hour. The other shows are smaller and more frequent. If you don't have a ticket to the main show, you'll end up in the back or not get a spot. Usually the main show is a hit (I've been to one that was a bit disappointing) but the smaller performances in the private rooms are just as good IMO. The food that I've had here is delicious. I've had a few of their salads, each huge enough to be a dinner in and of itself. I highly recommend the Houdini Prime Rib -- it is enormous and very tender (pictured). The chili-coffee braised pork osso bucco is also pretty unique and I've only been able to find it here. There is only one vegetarian option which is a pasta (but there are salads). The strawberry mousse is the best dessert here by far out of their three options.  The Castle has a lot of stairs and small nooks and crannies. It can get hard to navigate. Also note there is a strict dress code which you can find on their site. They ask people to leave if not dressed formally. Make sure to visit Irma, this ghost that plays a piano. If you talk to the piano -- I mean, Imra -- then she'll play whatever song you request (I've given her some tough songs) and she responds to your statements via piano keys. Pretty neat.They lose a star because some of the magicians who play on the side (in the nooks and crannies/not listed on the schedule pamphlet) have been incredibly rude. It also costs an arm and a leg here and the experience can start to get repetitive if you come more than once. I have only ever come on weekdays (not Friday-Sunday) because even on a Wednesday night, it is crowded, but not too bad. I imagine that weekends are horridly stuffed with people and very busy. I like to sit in the front and I've heard food is subpar when they are busy during weekends.My favorite performance was when they asked my boyfriend to be a volunteer that colored in a picture using different colors (of my BF's choosing). When my BF was finished, the magician pulled out the object in the colored picture from a hat exactly the same colors as the way my BF had colored the picture. Despite the couple cons, I have had fun on all my visits here.",4 star rating
43,2/24/2020,"The Magic Castle is a curious establishment - an iconic Los Angeles landmark known for treating its members and their guests to wondrous evenings inclusive of fine dining, crafted cocktails and yes, lots of magic. If you're lucky enough to snag an invite, take the opportunity and go. We unfortunately didn't get the chance to experience the dining room, but the menu looked excellent and cocktail/bar service was top notch at each of the Castle's watering holes. One bar even spots a bar tending magician if you're lucky enough to be there when he is. Multiple parlors run set scheduled shows with different magicians and mentalists but some of the real magic at The Magic Castle comes when you least expect it.World class mentalist and member Michael Gutenplan gave us a spontaneous tour of the castle over a glass of wine, offering some insight into the buildings eclectic history and sharing stories with a whimsical charismatic charm. He made us feel extremely welcomed and appeared genuinely happy to be sharing some magic with us. Walking from parlor to parlor is also an adventure on its own and the amount of spontaneous magic you may encounter between rooms is substantial. A piano lounge within features a resident musician you won't want to miss.The dress code is important to follow. Please keep that in mind.",5 star rating
44,7/22/2019,"Came on a Sunday night with an 8 PM dinner reservation for a party of 6.First of all, I had stress acne from trying to figure out the dress code all week. There was a ton of traffic because of the Hollywood bowl.We got there at 7 and were able to watch one magic show before dinner, and it was AMAZING. Really clever and done well, and the magician was very charismatic and personable. We went upstairs for dinner, which was super busy. We didn't get our menus until after a good 15 minutes into being seated. I checked the menu ahead of time and knew I wanted the beef Wellington, but they were out of it!!!! I was so disappointed. I got their lobster special for $74. I didn't think it was worth the hefty price tag to be honest. Lobster was seasoned fine, but I didn't like the garlic mashed potatoes (no texture, lacking in depth of flavor) and broccoli I was just okay. We also got:Lemon pepper calamari - just ok. Not particularly crunchy. Sauces weren't memorable. Hush puppies - decent, but very rich and oily. As in, it tastes like the fry oil saturated the entire piece of cornbread. We each had one, which was enough. Mac and cheese with crab: good amount of crab, not very cheesy at all needed some sriracha or other flavor. Cheesy garlic bread: they say it's their most popular item but I could've bought an entire loaf of the same thing at Whole Foods for a quarter of the price. I thought it would be more special than it was. The main magic show and the subsequent show I watched after were both kind of rickety and seemed kind of played out. You clearly do not come here for the food, but I wish I caught some better magic shows to make up for the lacking meal. P.S. If you want a Friday or Saturday slot, book months in advance!",3 star rating
45,10/22/2018,"UPDATED: We came back in June 2018 for the Saturday brunch! Food was excellent. Magic shows entertaining especially when my kids were pulled into one of them. We especially enjoyed Irma who played practically any song I conjured up. Happy to have been able to experience the Magic Castle!!Our Magic Castle experience was different from most. We booked through my Alma mater's group event with 5 tickets with 3 being under 21. We booked this months before and reserved flights and a hotel in Hollywood.Upon arrival, we were informed it was 21 and over only. Yes it says that on the website, but our group host never said under 21 were not allowed through the group. Multiple emails back and forth and no mention of this. So sad a simple miscommunication could cause such a potentially terrible experience. But Joey and the Magic Castle staff were so nice! They had two magicians come out to us in the lobby and perform a few card tricks. They gave us an option to come back during brunch, so now we can plan another lalala adventure for the summer.We aren't happy with our Alma mater group, but the Magic Castle staff is top notch! Thank you Magic Castle for your hospitality.",5 star rating
46,11/13/2018,"I love this place. I first came here 25 years ago when a magician friend invited me.  They have it all here from slight of hand, mind readers and of course, magic!  This place has so many different rooms, you can get lost here.",5 star rating
47,6/20/2019,What a wonderful place this is that preserves local historic pieces and presents the many talents of magicians! All of the staff is lovely and the food has improved greatly since our first visit in 2002. It is truly a treasure trove to be experienced and shared. No photos are allowed once past the secret door which is a bummer but aids in maintaining its mysterious allure. You may even run into your favorite celebrity.,5 star rating
48,5/17/2018,"If I would've posted this review after my first visit, it would have been 5 stars but now I am posting after my second visit, it's only 3 stars.I recommend everyone to visit once but second visit is not as great as first visit, based on my experience!Parking Fee is $15Weekend entarance fee is $35 per personDinner and drink on average will be above $100 per personI admit the quality of food is above standard and the drinks are made pretty light. (P.S. they also serve vegan food)The longest show that I have seen here is 45 minutes. The magicians are fun and entertaining.During each visit I saw 2 shows and I was already tired while I was watching the second show.If you have the opportunity to visit Magic Castle for the first time. I'd recommend you to go and enjoy!",3 star rating
49,7/21/2019,"The magic castle provides a 5-star experience that is without compare in LA.   While the food is ""pretty good"", being able to share 3 completely different up clause and personal magic shows in one visit is AMAZING!!!On my last lunch visit we saw two amazing magicians (one wearing a space suit) and watched a 3rd create the most amazing balloon animals on the planet!!!Whether you know a magician or just know somebody who knows a magician, you need to beg borrow or steal guest passes to the Magic Castle!P.S.  I am not dissing the food... it is solid... the breakfast buffet in particular has great variety and I enjoyed the omelette bar!",5 star rating
50,1/10/2019,"I feel fortunate to have the opportunity to witness the Magic Castle. This private estate is by invitation only. Upon entering the lounge, you will need to find a secret doorway to the castle and say the magic word. There is a sense of old Hollywood magic roaming inside the Castle. It's a spectacular place.  I highly recommend checking out close-up magic. It's a complete mind-bending experience. If you ever get a chance to befriend a magician, ask if they are a member. Also, Magic Castle is a fantastic place to bring a date.  Occasionally, you can spot celebrities, but I am horrible with faces. Maybe I did run into one unnoticed, or perhaps not.  Few tips to remember:- Admission fee Friday to Saturday was $30 per person.- Valet $15- They have a strict dress code so make sure to read their disclosures. - Heavy pour on drinks. Be responsible. - Arrive early. Shows last all evening and as late as midnight. - Show up on time for dinner. Entrees start at $40.- Explore the castle and search for unscheduled magic shows.",5 star rating
51,3/1/2020,"Had the pleasure of going to the Magic Castle last night for the 2nd time where I saw John Kippen and Bill Joslin perform again. It's hard to see all the shows at the Castle in one night due to the lines - esp on weekends- but seeing the intimate magic shows I think is even better, such as John and Bill's. In my mind that is where true magic occurs- right in front of your eyes! - and more impressive than the main shows. I love John and Bill's personal stories and their passion for magic. You can tell John just wants to wow you and make you smile! Even seeing both shows the 2nd time I still couldn't figure out how they did any of their tricks- ask John for the Monopoly money trick!! If you are at the Castle- try to find them and ask them to perform for you. You won't regret it!!!",5 star rating
52,1/20/2020,"I love magic.I really love magic.I also sometimes like having an excuse to get all dressed to the nines and enjoying an evening out with good company, talented magicians, and quality food.The website outlines exactly what attire is expected from the guests, so being judged on what you're wearing is thus also expected. People talking about not being let in or feeling awkward due to what they were wearing have no one to blame but themselves. I haven't had any issues.This is clearly a ""secretive"" and exclusive place, but if you befriend any of the magicians, you're sure to be able to ask them for invites. I have met and gotten to know quite a few of them. They're really awesome people, and very talented! I love walking through and seeing the various acts going on. There are little rooms for close-up and more theatrical magic, and I highly recommend lining up early for them, as seating is very, very limited.Drinks aren't bad here, either. The NPH is mysteriously strong, as it made my friend, who drinks heavily, quite tipsy after just two (and very drunk by 4). The Magical Moment is also very flavorful, and my female friend really enjoyed it (as did I, when I tried it).It is lamentable that dinner is required for non-members, but at least it's pretty decent food. I would give the food a solid 4 stars as well. Their hidden menu item (Tomahawk steak) is quite delicious, and their infinite au jus is much appreciated (I basically drink the stuff).Keep in mind there is an entrance fee, and valet is pretty much required unless you take a rideshare.The only reason I didn't give 5 stars is because to me 5 stars means a completely satisfying experience bar none, every single time, where everything is perfect. And I gave the Magic Castle 4 stars because Yelp doesn't let you give 4.8 stars. This, of course, is in comparison to other ""Magic Castle""-like places out there, which there are few, so it's held to expectations of what a place like this should be like. That being said, the Magic Castle is pretty much the best-in-class. I love this place.",4 star rating
53,8/17/2018,"The experience of a lifetime. The Magic Castle is world-famous among magicians, illusionists and entertainers...you'll never forget a dinner or brunch here.Pro Tips:- Visit Irma and get a side of truffle fries- Say hello to Joey, the amazingly positive and kind manager! - See Mike the Bartender perform at the Hat and Hare- Look at the schedule in advance so you can plan which shows you'll see during your visit - Bring cash to tip valets",5 star rating
54,5/7/2019,"Put it on your bucket list and go! Here are some things you should think about doing once inside: Tip a dollar to have the ghost play your favorite tune, talk to the staff because they're charming and might lead to unexpected turns (my buddies and I got a private magic show from John in the classroom because we were talking to Joe in the library), go where no one else is, get to the downstairs bar first to sit up front for the show, stay till the bitter end, drink your heart out.",5 star rating
55,6/22/2019,"Bucket list: Magic Castle.... Check. What an amazing evening. My friend and I felt like we were transported back in time. Loved the dress code (they legit refused people at the door and told them to borrow a jacket from their supply of left-behind or old jackets), and the no pictures/video rules. I feel like this is how all experiences should be - living in the moment and appreciating the Art and respecting the venue. But don't worry, you can take pics outside at the MC wall or right when you walk inside to the lobby to pay for your entrance fee. There are several floors and rooms, so get curious and start exploring! Earlier in the evening (like at 5pm), go to the Close Up Gallery, or visit Irma before she gets too crowded. Do as many things before your dinner reservation bc later into the evening, it gets PACKED! We had dinner reservations at 6pm. We had: 1. Cheesy bread: it's bread w cheese and garlic. Enough said. 2. Calamari: so good. There's also some sort of veggie on top and it was delicious. 3. Beef Wellington: my first time having this and it was soooo tender and delicious. 4. Lamb: this was also good. By this time we were so full and couldn't finish everything. 5. Mac and cheese w crab: um also so delicious. And crab is a must. Nice chunks of crab. Not too cheesy and heavy! We got to watch several shows and had to stand in line for like 40 minutes to see our last 11:15 showing. But there's enough to entertain you even if you don't go inside all the stages- magicians are all over the castle and the drinks are fantastic, so just relax and enjoy!! I'd explain more, but honestly there's so much fun in exploring here... you just gotta experience it for yourself!",5 star rating
56,3/3/2019,"Late review. Came here before and really enjoyed the various magic acts. They are really strict with dress code. My friends mom had a zippered cardigan but those weren't allowed so she had to walk several blocks to a store and buy a blazer. The other guy in our group also had to go and buy a blazer because his top wasn't formal enough. We read the dress code very carefully before we went but I guess they were very strict. So that wasn't good. We had to pay entrance fee and on top of that extra wardrobe, valet fee, and tip. You can only take photos outside and in lobby area but that's it. Inside was pretty interesting. Lots to see and plenty of magic shows to enjoy. When you find a show you have to plan it eight because there's always a line of people also wanting to see it so you can't see all the shows. They have set dinner times so groups of people can dine at different intervals. I ordered the beef Wellington which was delicious. Drinks were good too but food service came very slow and drinks were rarely refilled.  Restaurant was nicely decorated though with right seating. It's hard being a curvy girls and sitting in tight spots. Let's just say overall fun experience. Just have to remember to bring a lot of cash on hand and also be prepared to spend money upfront just getting into magic castle. Lastly you have to know someone to get invited here. You have to email a magician and when they invite you then you can arrange for time to visit. If you are patient and plan months ahead then you will have a good time.",3 star rating
57,3/3/2020,"Great evening and my entire group had so much fun! They are very kind but won't let you drop your tie...very formal. However, when I was eating they didn't seem to mind too much as I am more comfortable eating without a tie during that time. Much appreciated.The magic we saw this trip didn't get closed to my first experience at the Palace of Mystery but that's why they rotate in all the talent. Can't wait to see who is next... They brought in the talents from ""America's Got Talent"" or people who can fool the infamous Penn and Teller on my last two trips.I love that you never see the same people twice!!! Highly recommend.The staff was so kind to shuttle us from performance to performance with minimal waiting time. Amazing staff!The Beef Wellington, Tomahawk Steak...Prime Ribs all had major rave reviews from everyone!!! Nobody in my group spoke highly of the duck pasta and my salmon didn't work. I didn't mind as we were being hurried into the Palace for the last show. Next time I might get an earlier reservation so we can see more.So grateful we went again as my entire birthday party loved experiencing the mystery and culture of cutting edge Magic.I do wish they would have given out a piece of cake at the end of our meal. Beyond the button that said ""Birthday"" I never got a birthday shout out so I wonder why I was wearing that in my suit later on after we left.Thanks again 5 stars.",5 star rating
58,4/25/2019,"The Magic Castle is truly world famous and absolutely unique in the world of clubs.  As a member for more than 4-years now, I can tell you that we have a lovely and captivating history and it will be our pleasure and honor to dazzle you with wonders and miracles.  If you have an opportunity to go, you must do it!!My first visit was in approx. 2009 & I was HOOKED.  Jack Goldfinger did an impromptu character read on everyone in our party as we stood in line for the Palace show; he did it by way of zodiac signs and it just sent me on tilt, man - I could NOT believe how smooth this guy was.Anyway, I started studying and practicing (honored to be in Dave Thorsen's retiring class, and subsequently in Magic 3 & 4 with Mark and Nani - great story of asking Mark if I was ready to audition...  Even better story about Doc Eason, who I was re-introduced to with absolute elation - In the 80s and 90s between 5-15 years old they let me belly up to the bar with a roy roger and sit under the spells of Doc Eason and Eric at the Tower Bar in Snowmass where our family traveled several times a year... When I realized Doc was the same Doc (20 years late rat the now Library Bar [then, W.C. Feilds]) we connected and that has been a true honor. and... well anyway, what a absolutely phenomenal community.Anyway, it's crazy how fast I became the magician in all of my circles - then I auditioned 04/06/2015 and have been a proud member ever since.",5 star rating
59,6/7/2020,"Little bit pricey but the food is delicious. I personally didn't like the long lines to the shows, some of them were very popular and I couldn't get inside, so I just gave up. The drinks are expensive also. The club itself is great with the nice interior design!",5 star rating
60,3/5/2018,"This is one of my all time favorite Los Angeles experiences!! I love it because it's exclusive (typical LA) but only for the purpose of helping magicians build relationships with their audience and keep the ""magic"" alive. I love the concept that you cannot get in without an invite from a magician. You also cannot take any pictures once inside the mansion. This is a strict rule. The pics I did get were allowed out front and in the lobby where you check in. We started off our evening by saying the magic words (not ""please"") to open a secret door that lead into a large bar area. Once in, we were treated to ""live"" piano tunes where a friendly ghost took requests. Then we caught a couple of side acts in the close-up theater. The close-up theater was a great experience. It was an intimate time with the magicians where if you watch closely enough, you can start to figure out how the magic happens. Lots of audience participation. Then, on to our dinner reservation. This meal was amazing!! We loved the appetizers, main dishes were on point, steaks couldn't be more tender, I seriously cannot day enough good things about this meal. We loved it! The only thing that made the meal better was the service. Wonderful, prompt attentive service really sealed the deal. The onto the main stage for a trio of magic performances that blew me away! I had no idea how creative and artistic magicians can be.  But the fun didn't stop there...we were able to catch two more acts in two additional theaters (this truly is a castle because there were so many theaters we did not have time to visit them all!) as well as mix it up with some magicians who were just hanging out. We made many connections and were glad to know that anytime we wanted any invite back, we could just call on one of our new magicians friends for an invite!!",5 star rating
61,12/22/2017,"Can't think of a more appropriate name, it's a castle and there's magic inside. I've heard about the MC years ago, but never knew in details what it is, nor can I try to picture it by friend's description. First, here are some useful notes about this place. * You cannot simply walk in, and you cannot make a reservation either. * You'll need to know someone who is already a member or a magician to gain entry. * If the member walks in with you, there's no cover charge. But if the member puts you on the guest list but doesn't walk in with you, it's $30.00. * Formal attire, no exceptions. Men in suits at all times, and ladies .. well, ladies tend to look better than men. But do dress up. * No photos beyond the small lobby. They are very strict so don't be the rebel & try to snap photos. *  Valet only. $13.00 fee is paid inside by cash or credit, but have some bills for tip afterwards. On to my evening. Recently, we received an invite to come here on a Saturday night. Our new magician friend met us at the door and walked us in. Inside is a cashier station for purchases at the small gift shop or pay for parking. You can also check in your coat here. Face the wall of books and say the magic words, the wall will reveal a secret door. If you're invited, you'll know what the words are. Through the door into the first room is a bar. Off to the right are stairs that lead to the dining room and bigger shows. To the left is where you can line up for another magic show which happens about every 20 min., and they rotate magicians. That area also has staircases that leads you downstairs to other rooms. Behind the bar is a nice seating area for medium sized groups. A great place to have a drink before seeing the acts. You can also order food and have it brought over to the cocktail tables. Guests are free to roam, mingle or just see magicians randomly perform throughout the castle. The bigger and better acts take place later in to the night, as the crowds roll in. Most of the acts we experienced allow guests to sit up close & personal, and the magicians often include them as part of the act. Some are noticeably better than others but all incorporate humor into their acts. The Magic Castle is a fun, but classy place to go with a date, a group or even for a special occasion. It's a very different experience.Side notes: *If you are able to get in, dinner will require a reservation ... and will allow you gain access to the big acts at night. Inquire with the Magic Castle for details. * There are a couple of ambassadors with white badges that will offer tours of the castle. They are super friendly and have a great sense of humor.",5 star rating
62,12/2/2019,"I had such a fun night at the Magic Castle. I thought the shows were unique and amazing, parking was easy, service was kind and prompt. The food was so much better than I had heard beforehand. My food was really good, I recommend the banana cream pie for dessert. My friends and I had a blast exploring. If you go, I recommend looking up the schedule and planning out your route before you go. Or better yet, go with a magician who knows the place really well. I loved my trip to the Magic Castle and would go there once a week if I had the money/time.",5 star rating
63,4/29/2018,"This is a Disneyland for adults, minus the fast passes and cream cheese filled pretzels. Nonetheless, THE MAGIC CASTLE IS MAGICAL. I suggest not going in trying to figure everything out and, instead, embrace your inner child. Embrace a little mystery. I especially enjoyed the close-up magic tricks from the magicians just hanging out in the lobby areas. Favorite show was downstairs in the dungeon area. FANTASTIC showmanship. Also, loved requesting music from Irma. For the reserved dinner, I had prime rib with mashed potatoes and seasoned vegetables, prepared medium. It was satisfying, not too much to make me feel like I wanted to peel over and sleep, so I'm glad I didn't go overboard. Only alcohol I had was a Pinot Grigio, but was given such a generous serving that I felt it was enough. Overall, the castle is kind of a maze inside, but it adds to the magic feel. Since we went on a Saturday, there was a bunch more folks - so I'd like to experience the castle during the week days instead. I'm now trying to figure out my way back in....",5 star rating
64,12/31/2017,"Review #400What a cool and fascinating mansion. Dress code is strictly enforced. I would recommend checking their website to make sure what you can and cannot wear. My bosses were invited by a member and we had a lovely dinner and were able to enjoy some of the shows. My dinner was super delicious. I had the prime rib along with a side of mash potatoes, veggies and butternut squash. My favorite item inside the mansion was Irma the haunted piano. She was hidden inside the mansion so we had to ask to find out where she was. We were able to see two shows and before we knew It we had been at the Magic Castle for five hours. I was very impressed with the talented magicians. My favorite show was of a gentleman that could remember things in such a short amount of time and was able to repeat it back. Mind blowing! It was definitely a highlight of this year to visit such a extraordinary place with my bosses.",5 star rating
65,9/20/2019,"Very disappointed. This place has an extreme hype but nothing else to offer. Everything from Service-Food-Show was terrible. -Show was similar to 4* star hotel in Mexico. That's how bad was it. -Food: we ordered Prime Rib (medium rare). My girlfriend couldn't eat this. It was so rubberish! I was so hungry so I had to eat something. Our bill was around $600, it was a pure waste. This place name themselves as a premium steak house. Omg, it was such a bad dining experience.Drinks were bad as well, they poured me old fashioned from a barrel pre-made, throw ice and serve directly to me. No taste no flavor-nothing. I would get a better drink at any low end pub. Not recommended. Stay away from Fake Hype about this place.Service sucks! Staff was very rude!",1 star rating
66,9/7/2019,"Had a great time here, though a couple of things took me by surprise. First was the entrance fee; fie on me for not doing the research, I was told entrance was complimentary, but you had to order $50 for dinner, but it was $35 entrance fee and $50 dinner (minimum order of entree starting at 29, average 38, plus tax & tip; i've heard there's possibility to order apps and other stuff, as long as it's over $30, but I wouldn't bank on it), but for a night filled with magic and entertainment, totally worth.The second thing that took me by surprise is the viciousness of the people in line. We had stood in line for about 20-25 minutes at the living-room magic show before 3 of our party decided to pick up some drinks at the bar, cause it was still 20 minutes before showtime. Unfortunately, 5 minutes in, the line started moving, and I went to retrieve the peeps at the bar; when we tried to get back to where we were, there was serious outcry of rage from the other attendees. A lot of ""come on!"" and ""unbelievable."" (true to form, though, the crowd at Magic Castle is predominantly entitled WASPs) When we did manage to get to where we were, the staff were also adamant that ""this is not how things work here,"" as in one person can save a seat for one person, but not for four people. The frustrating thing is that we didn't just send one person to hold the spot while we gallivanted around the castle; we were all in line together until the poorly timed decision to buy a drink for the next 20 minutes of waiting. Suffice to say, if a waiter doesn't come by to offer you bar service, you're better off not buying. Plus, the drinks are all around $15 anyways. So, maybe you're better off not buying period lol. Food is hit or miss; out of the three things I bought: Vegetarian entree, spinach madeline, and garlic bread, the garlic bread was the best. Tried some chicken and steak off of other people; nothing impressive (and to the friend with the beef wellington, extremely disappointing).The saving grace to our night was Joseph Gabriel. Seeing that many birds pulled in one man's act... magical; the crowd got more and more enthusiastic with each bird, and then his grand finale got a full ovation. So, with dinner, entrance, & valet, you're spending about $100 for entertainment; it's cheaper than entrance to one park at Disney and the lines are shorter.",4 star rating
67,3/18/2019,"Super overpriced.$35 entree fee plus a dinner requirement. I paid $30 for cobb salad (it was the cheapest option. I must admit it was pretty tasty though).I'd only go here if I went for a work event, but otherwise this place was more of a one and done kind of thing.The shows were fun but not something I feel I couldn't miss. I only went to a couple of the shows though, so I may have missed out on the more over the top ones.",2 star rating
68,5/21/2019,"I was very impressed with the evening overall: entertainment, setting, atmosphere, service, food were all excellent. First things first: read the website carefully, as it explains the dress code, entrance requirements, and so on, quite well. You need to be a member or have an invitation from a member in order to enter. Everyone is required to wear formal attire, which contributes to the charmingly retro and festive atmosphere inside. In many of the rooms, you feel like you're in a speakeasy or at a fancy mid-century cocktail party. There are several settings with scheduled performances, as well as areas for close-up illusions scattered throughout the social areas. There are several formal dining rooms upstairs serving somewhat retro food: big steaks, big chops, and a wonderful seafood pasta (which I had, with huge lumps of crab meat, scallops, and prawns). The pistachio crème brûlée was my favorite of the desserts. The main performance at the upstairs theater requires separate tickets, and was well worth it.",5 star rating
69,5/20/2019,"I love the concept of the magic castle - dress up and no phone/photos! Simple and fun. I came as a guest a couple of times and I could literally stay all night. If you come as a guest, you have to get dinner (ranges from $30-50 an entree), but you also get a ticket to the big show which is always a lot of fun. They also have a bunch of mini shows throughout the castle and performers come out every 20 minutes or so. I'm always impressed by the acts and I love the audience participation. They magicians are pretty hilarious and really good at what they do. I don't think I'll ever get bored watching!",5 star rating
70,5/19/2019,"If the Magic Castle isn't on your bucket list, it should be!  This is quite possibly the most unique ""evening out"" experience I've had in my entire adult life.This is a private club, but you can usually find tickets at charity auctions (assume you'll spend about $125 per ticket, based on the two separate times I've bid and won tickets in a silent auction).All guests are required to have dinner (about $50 per person), but after that, you are free to roam the facility. There are countless rooms and bars that have performers ready to dazzle you. Highly suggest going with a group.My only criticisms of the place are the weak drinks and assembly line food. But beyond that, everything about the Magic Castle is simply magical. Notes:- Dress code is strictly enforced. Read the website in advance. - Be prepared to spend money on food, drinks, and performer tips. - No cameras- Don't over-drink. Adult behavior is expected. You will be escorted out if you are at all belligerent or interrupt the performances",5 star rating
71,12/6/2017,"pretty cool place, but a bit over rated... I expected a bit more for the exclusivity that they advertise.... The facility is nice and appropriate and reflects the ""magic"", staff are accommodating and helpful. Layout of the place allows for visitors to have something to do and see at all times.The shows were ok, nothing magical! Tricks were good and entertaining. The final show in the larger room (don't remember the name) was ok at best. The finale was good but a lot of ""fillers"", comedy was not too original, and the performers were average.The food is actually what I was looking forward to! I heard good things, but again, it was average and compared to a good Steak place... For the price I'd much rather have gone to a 4 diamond restaurant...If you're into magic, give it a shot. If not, go to a nice restaurant and then watch pen and teller on tv...",3 star rating
72,3/23/2018,"The magic castle was amazing! I had a really enjoyable time. If you're a fan of magic you will love this place. I went in a group of 6 and it was the perfect size. I saw Chuck Jones & Company and David Gabbay. They were both incredible magicians and the illusions they were creating were out of this world. The castle is such a unique place where you can enjoy dinner and a show. They have a strict no photography rule after the lobby but I snuck a photo of my food in case vegan people were interested in seeing what kind of food they had. Mine was some kind of organic tofu dish with some sauce. It was alright, not the best meal but I can't complain and I was just glad they had a vegan option to begin with. If you're looking for a good time then I highly recommend coming here. Everyone here was in good spirits and the overall energy was very positive. Their employees are really strict on their castle policies so don't try to be shady or get away with anything that they've specified on multiple signs throughout the castle! Grab a drink, eat a meal, and enjoy the magic.",5 star rating
73,1/1/2018,Magic.  It can all be explained with science but it's much more fun to sit in awe and wonder.  This place is amazing!  There is magic around every corner.  The up close and personal magic in some of the smaller rooms is just as good as what goes on at the main theatre room.  And there are magicians tucked away in the hallways and lobbies as well.Great place to visit with friend and neighbors!,5 star rating
74,12/11/2019,"Can't comment much on food aside from Impossible Burger I had at a bar downstairs/or up, who knows how this maze of a place works.1. It was close to impossible to wrangle an invite on an incredibly short notice of two days. You must know someone. Thankfully I got in and had an amazing time with my friends, one of my favorite memories of all time really.2. The number of attractive people here is shockingly high. Dressed up to the nines and just naturally good-looking. Unexpected, I wonder if this is how life was decades ago, people put together, thin and sophisticated. 3. I can't imagine it being cheap for those that drink. I don't partake so not sure how that pricing was.4. All around fun and unique experience going from show to show and room to room. I can't wait to be back and spend more time exploring. Being with cool, curious company is key. Leave toxic people out, this is a place to really experience with your five senses and pay attention. If you have mental issues don't ruin the perhaps once in a lifetime experience for others. Leave drama at the door. Still not sure how the magician roast works or if there were random magicians sprinkled in the club and why, but it seemed like it. Intriguing.Sadly no pictures to show but still very fresh in my memory.",4 star rating
75,3/8/2019,"Would it be too cheesy of me to say that this place is MAGICAL?!?Truth be told, this place really is a lot of fun. The ambiance combined with the magicians really come together to provide everyone within a super fun night out away from the regular world. I thoroughly enjoyed all the shows, the many rooms and parlors, you never really knew what was around the corner!Dinner is above average. If based on dinner alone, You'd be a little disappointed. But come on now, you're not coming to the magic castle just to eat a Beef Wellington. I recommend visiting this place if given the opportunity to anyone",5 star rating
76,11/7/2019,"I was lucky enough to be invited by a dear friend and that part was lovely, but the hype surrounding this establishment was quickly challenged the second I walked through the door. In typical LA fashion, the ""members club"" status has given it an unnecessary ""hot spot"" pin-drop and the dress code expectations for the experience is a serious mismatch. The best members clubs in the world, Annabels in London, 5 Hertford,  various Soho Houses, don't have some of these requirements and give you a clean, chic and elevated experience in return.The Breakdown:Venue: The venue has an old, musty feeling that reminded us of a Disney haunted castle. The photos on the wall were cheesy and the place was dark and felt dusty, even if it wasn't.Food: The brunch buffet was nice but the service was really terrible. The server forgot drinks, knocked things over and asked the same question of two of our guests over 3 times.Magic: We expected some really impressive acts but we got a children's hour (at one point, literally).Staff: Most were nice but a couple were aggressive. Poking a guest (me) on the shoulder and pointing me away from a line is just odd.If it were not so pretentious in its demands and not pretending to be something it's not, it could have been a fun and cheesy day out, but the place is not worth the attitude or the hype. Spend your money and efforts to get in elsewhere.",2 star rating
77,10/6/2019,"This was an experience unlike any other. It was amazing coming here and I hope to come again soon! The Castle has a strict dress code, so make sure to read it before coming. You also can't take any pictures inside, and yes they strictly enforce this. If you are able to, I would recommend coming on a weeknight or Sunday night. I came on a Sunday night and it wasn't too difficult to get into any of the shows, all though they did all fill up eventually. The magic shows are absolutely insane. Even sitting a few feet away, I didn't figure out how they did any of the tricks. Drinks are allowed inside the theater, and they will even take your order before the show starts and then brings it to you. I got here around 5PM and didn't leave until 11PM, and I still wish I had been able to spend a few more hours here.As for the food, the menu has a lot of options, even a few gluten free and vegan options. Appetizers are in the $15-25 range and entrees are $40-60. I ordered the smoked salmon sourdough ($21) as an appetizer and the seafood pasta dish ($42, can't remember the exact name!) as an entree. I really enjoyed all the toppings on the sourdough, smoked salmon, avocado, burrata, and caviar were all great, but the bread itself was kind of stale. Came with 4 pretty decent sized pieces, so more than enough to share. The pasta dish was huge! The sea urchin and lump crab were really good and tasted fresh. The pasta itself seemed a little dry and the entire thing and a big layer of cheese over it that I thought was too much. I also got the banana cream pie ($12) for dessert, which was delicious and enough for a few people to share.",5 star rating
